https://www.petcare.com.au/dog-breed-weight-chart/
Breed Name	Male	Female
Norwegian Buhunds	14 – 18Kg	12 – 16Kg
Norwegian Elkhounds	25Kg	22Kg
Norwegian Lundehunds	9 – 14Kg	9 – 14Kg
Norwich Terriers	5Kg	5Kg
Old English Sheepdogs	27 – 45Kg	27 – 45Kg
Papillons	2 – 5Kg	2 – 5Kg
Parson Russell Terriers	6 – 8Kg	6 – 8Kg
Pekingese	Up to 6Kg	Up to 6Kg
Pembroke Welsh Corgis	Up to 14Kg	Up to 13Kg
Petits Bassets Griffons Vendeens	11 – 18Kg	11 – 18Kg
Pharaoh Hounds	20 – 25Kg	20 – 25Kg
Plotts	23 – 27Kg	18 – 25Kg
Pointers	25 – 34Kg	20 – 29Kg
Pointers (German Shorthaired)	25 – 32Kg	20 – 27Kg
Pointers (German Wirehaired)	23 – 32Kg	23 – 32Kg
Polish Lowland Sheepdogs	14 – 23Kg	14 – 23Kg
Pomeranians	1 – 3Kg	1 – 3Kg
Poodle- miniature	7 – 8Kg	5.5 – 7Kg
Poodle- standard	20 – 32Kg	20 – 27Kg
Poodle- toy	3.5 – 5.5Kg	3.5 – 5.5Kg
Portuguese Podengo Pequenos	4 – 6Kg	4 – 6Kg
Portuguese Water Dogs	19 – 27Kg	16 – 23Kg
Pug	6 – 9Kg	6 – 8Kg
Pulik	11 – 16Kg	11 – 16Kg
Pumik	12 – 13Kg	10 – 11Kg
Pyrenean Shepherds	7 – 14Kg	7 – 14Kg
Rat Terriers	5 – 11Kg	5 – 11Kg
Redbone Coonhounds	20 – 32Kg	20 – 32Kg
Retrievers (Chesapeake Bay)	29 – 36Kg	25 – 32Kg
Retrievers (Curly-Coated)	27 – 43Kg	27 – 43Kg
Retrievers (Flat-Coated)	27 – 32Kg	27 – 32Kg
Retrievers (Golden)	29 – 34Kg	25 – 29Kg
Retrievers (Labrador)	29 – 36Kg	25 – 32Kg
Retrievers (Nova Scotia Duck Tolling)	16 – 23Kg	16 – 23Kg
Rhodesian Ridgebacks	39Kg	32Kg
Rottweilers	43 – 61Kg	36 – 45Kg
Russell Terriers	4 – 7Kg	4 – 7Kg
Salukis	18 – 29Kg	18 – 29Kg
Samoyeds	20 – 29Kg	16 – 23Kg
Schipperkes	5 – 7Kg	5 – 7Kg
Schnauzer- miniature	5 – 8Kg	4 – 7Kg
Schnauzer- Standard	16 – 23Kg	14 – 20Kg
Scottish Deerhounds	39 – 50Kg	34 – 43Kg
Scottish Terriers	9 – 10Kg	8 – 10Kg
Sealyham Terriers	10 – 11Kg	9 – 10Kg
Setters (English)	29 – 36Kg	20 – 25Kg
Setters (Gordon)	25 – 36Kg	20 – 32Kg
Setters (Irish Red and White)	19 – 27Kg	16 – 23Kg
Setters (Irish)	32 – 0Kg	27 – 27Kg
Shetland Sheepdog	8 – 12Kg	6 – 10Kg
Shetland Sheepdogs	7 – 11Kg	7 – 11Kg
Shiba Inu	10Kg	8Kg
Shih Tzu	4 – 7Kg	4 – 7Kg
Siberian Huskies	20 – 27Kg	16 – 23Kg
Silky Terriers	Around 5Kg	Around 5Kg
Skye Terriers	16 – 20Kg	15 – 20Kg
Sloughis	16 – 23Kg	16 – 23Kg
Soft Coated Wheaten Terriers	16 – 18Kg	14 – 16Kg
Spaniels (American Water)	14 – 20Kg	11 – 18Kg
Spaniels (Boykin)	14 – 18Kg	11 – 16Kg
Spaniels (Clumber)	32 – 39Kg	25 – 32Kg
Spaniels (English Cocker)	13 – 15Kg	12 – 15Kg
Spaniels (English Springer)	23 – 0Kg	0 – 18Kg
Spaniels (Field)	16 – 23Kg	16 – 23Kg
Spaniels (Irish Water)	25 – 31Kg	20 – 26Kg
Spaniels (Sussex)	16 – 20Kg	16 – 20Kg
Spaniels (Welsh Springer)	18 – 25Kg	16 – 23Kg
Spanish Water Dogs	18 – 22Kg	14 – 0Kg
Spinoni Italiani	25Kg	25Kg
St. Bernards	64 – 82Kg	5 – 64Kg
Staffordshire Bull Terriers	13 – 17Kg	11 – 15Kg
Standard Schnauzers	16 – 23Kg	14 – 20Kg
Swedish Vallhunds	9 – 16Kg	9 – 16Kg
Tibetan Mastiffs	41 – 68Kg	32 – 54Kg
Tibetan Spaniel	4 – 7Kg	4 – 7Kg
Tibetan Terriers	8 – 14Kg	7 – 13Kg
Toy Fox Terriers	2 – 3Kg	2 – 3Kg
Treeing Walker Coonhounds	23 – 32Kg	23 – 32Kg
Vizslas	25 – 27Kg	20 – 25Kg
Weimaraners	32 – 41Kg	25 – 34Kg
Welsh Terriers	9Kg	8Kg
West Highland White Terriers	7 – 9Kg	7 – 9Kg
Whippets	11 – 18Kg	11 – 18Kg
Wirehaired Pointing Griffons	23 – 32Kg	16 – 23Kg
Wirehaired Vizslas	25 – 29Kg	20 – 25Kg
Yorkshire Terriers	3Kg	3Kg
